,Unnamed: 0,@type,name,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Mozzarella di búfala y tomate fresco con rúcula y albahaca,Entrantes,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
1,1,MenuItem,Berenjena a la parmesana,Entrantes,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
2,2,MenuItem,"Redondo de ternera al corte fino, recubierto de salsa de atún y alcaparras",Entrantes,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
3,3,MenuItem,Huevo Millesime by Andrea Tumbarello,Entrantes,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
4,4,MenuItem,Burrata pugliese,Entrantes,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
5,5,MenuItem,Carpaccio clásico,Entrantes,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
6,6,MenuItem,Ensalada tibia,Entrantes,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
7,7,MenuItem,Provolone,Entrantes,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
8,8,MenuItem,Ensalada Perla,Entrantes,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
9,9,MenuItem,Huevo A Vánvera by Luigi Bertaccini,Entrantes,9,None,"""Calle Zurbano 85","""geo"":{""latitude"":40.439735592688,""longitude"":-3.692850112915",A vÁnvera
