,Unnamed: 0,Unnamed: 0.1,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,0,MenuItem,Rissoto de hongos silvestres y Mouse de Oca,Offer,12.8,EUR,Entrante,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
1,1,1,MenuItem,Zamburiñas a la plancha con copetín de cebolla y aceite suave de cebollino,Offer,13.2,EUR,Entrante,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
2,2,2,MenuItem,Huevo trufado en sopa de parmesano ( tributo de Zalacaín ),Offer,7.2,EUR,Entrante,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
3,3,3,MenuItem,Chipirones a la plancha con cebolla confitada y ajada con fondo de crema de calabaza,Offer,13.8,EUR,Entrante,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
4,4,4,MenuItem,"Pucherete de huevos La Fragua de Sebín, con patatas, matanza de mi pueblo, setas y trufa",Offer,10.9,EUR,Entrante,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
5,5,5,MenuItem,1/2 de jamón ibérico de bellota con pan tumaca,Offer,12.5,EUR,Entrante,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
6,6,6,MenuItem,Pulpo a la brasa con helado de mostaza y wasabi regado con aceite de oliva virgen,Offer,19.9,EUR,Entrante,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
7,7,7,MenuItem,Mejillones al vapor con jengibre y un ligero toque picante,Offer,10.0,EUR,Entrante,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
8,8,8,MenuItem,Rabas al estilo Santander con ali-oli,Offer,11.5,EUR,Entrante,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
9,9,9,MenuItem,Huevos auténticos de corral con gambas cristal,Offer,16.9,EUR,Entrante,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
10,10,10,MenuItem,Canelones de pato salvaje sobre cama de salsa de tomate artesana y bechamel ligera gratinada con parmesano,Offer,14.5,EUR,Entrante,9.1,None,"""C","""geo"":{""latitude"":40.427633454339,""longitude"":-3.7039198875427246",La Fragua
